Term,Part Of Term,School,Subject,Course Number,Section Number,CRN,Title,Long_Crs_Desc,CurrentEnroll,Enrollment (Including Cross List),Max Enrollment (Including Cross List),Seats Available (Including Cross List),Wait List Count (Including Cross List),Wait List Available (Including Cross List),Part of Term Start Date,Part of Term End Date,Primary Instructor,Other Instructors,Meeting Times,Rooms
Fall 2018,Full Term,College of Liberal Arts,BST,410,X,10881,Specialized Honors in Business Studies I,Specialized Honors I: Blocked Chain in Cryptocurrency,1,1,1,0,0,999,8/27/18,12/14/18,"Tomljanovich, Marc",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BST,410,X1,10895,Specialized Honors in Business Studies I,Specialized Honors I: Korean Business,1,1,1,0,0,999,8/27/18,12/14/18,"Mundo, Philip",,  - , 
Fall 2018,Full Term,College of Liberal Arts,CE,101,M,10360,Civic Engagement Workshop,,31,31,40,9,0,999,8/27/18,12/14/18,"Koritz, Amy",,T 04:30 PM - 05:45 PM,WEL 
Fall 2018,Full Term,College of Liberal Arts,CE,215,M,10363,The Non-Profit Sector,The NonProfit Sector,12,20,20,0,1,998,8/27/18,12/14/18,"Andrews, Tracy",,TR 04:30 PM - 05:45 PM,SEM 109
Fall 2018,Full Term,College of Liberal Arts,CE,275H,Q,10666,Topics in Civic Engagement,Topics in Civic Engagement: The Work of Innovation: Creating Organizations that Solve Problems,3,18,20,2,0,999,8/27/18,12/14/18,"Panayi, Andreas",,T 07:00 PM - 09:30 PM,BC 118
Fall 2018,Full Term,College of Liberal Arts,CE,301,F,10358,Senior Civic Workshop,,8,8,15,7,0,999,8/27/18,12/14/18,"Rosenbloom, Susan",,T 10:25 AM - 11:40 AM,BC 102
Fall 2018,Full Term,College of Liberal Arts,CE,301,L,10359,Senior Civic Workshop,,3,3,15,12,0,999,8/27/18,12/14/18,"Rosenbloom, Susan",,M 04:30 PM - 05:45 PM,BC 102
Fall 2018,Full Term,College of Liberal Arts,CE,301,T,10369,Senior Civic Workshop,,10,10,15,5,0,999,8/27/18,12/14/18,"Rosenbloom, Susan",,M 02:40 PM - 03:55 PM,BC 102
Fall 2018,Full Term,College of Liberal Arts,CE,350,D,10356,Leadership in Action I,Leadership in Action,0,0,15,15,0,999,8/27/18,12/14/18,"Koritz, Amy",,T 09:00 AM - 10:15 AM,BC 102
Fall 2018,Full Term,College of Liberal Arts,CHEM,150,E,10041,Principles of Chemistry I,,25,25,25,0,2,997,8/27/18,12/14/18,"Fazen, Christopher",,MWF 10:25 AM - 11:30 AM,BC 215
Fall 2018,Full Term,College of Liberal Arts,CHEM,150,G,10043,Principles of Chemistry I,,35,35,40,5,0,999,8/27/18,12/14/18,"Porras, Jonathan",,MWF 11:50 AM - 12:55 PM,BC 101
Fall 2018,Full Term,College of Liberal Arts,CHEM,150,VL,10042,Principles of Chemistry I,,28,28,32,4,0,999,8/27/18,12/14/18,"Dobbelaar, Peter",,MWF 04:30 PM - 05:35 PM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,BD1,10054,Principles of Chemistry I Lab,,16,16,16,0,0,999,8/27/18,12/14/18,"Fazen, Christopher",,T 08:40 AM - 11:40 AM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,BFD,10053,Principles of Chemistry I Lab,,16,16,16,0,1,998,8/27/18,12/14/18,"Gurevich, Alejandra",,R 08:40 AM - 11:40 AM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,JT1,10055,Principles of Chemistry I Lab,,14,14,16,2,0,999,8/27/18,12/14/18,"Keyser, Sandra",,W 01:15 PM - 04:15 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,JT2,10056,Principles of Chemistry I Lab,,12,12,16,4,0,999,8/27/18,12/14/18,"Porras, Jonathan",,M 01:15 PM - 04:15 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,JT3,10057,Principles of Chemistry I Lab,,16,16,16,0,0,999,8/27/18,12/14/18,"Crowther, Molly",,F 01:15 PM - 04:15 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,KZ1,10058,Principles of Chemistry I Lab,,17,17,16,-1,1,998,8/27/18,12/14/18,"Gurevich, Alejandra",,R 01:15 PM - 04:15 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,KZ2,10059,Principles of Chemistry I Lab,,16,16,16,0,0,999,8/27/18,12/14/18,"Choquette, Kimberly",,T 01:15 PM - 04:15 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,150L,LP,10060,Principles of Chemistry I Lab,,17,17,16,-1,0,999,8/27/18,12/14/18,"Cincotta, David",,T 05:00 PM - 08:00 PM,HSC S211
Fall 2018,Full Term,College of Liberal Arts,CHEM,151,G,10044,"Principles of Chemistry I, Advanced Section",Principles of Chemistry I - Advanced Section,36,36,36,0,0,999,8/27/18,12/14/18,"Pearsall, Mary-Ann",,MWF 11:50 AM - 12:55 PM,BC 201
Fall 2018,Full Term,College of Liberal Arts,CHEM,250,C,10045,Organic Chemistry I,,40,40,40,0,0,999,8/27/18,12/14/18,"Keyser, Sandra",,MWF 09:10 AM - 10:15 AM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,250,E,10046,Organic Chemistry I,,34,34,40,6,0,999,8/27/18,12/14/18,"Choquette, Kimberly",,MWF 10:25 AM - 11:30 AM,BC 101
Fall 2018,Full Term,College of Liberal Arts,CHEM,250L,JT1,10061,Organic Chemistry Lab,,16,16,16,0,0,999,8/27/18,12/14/18,"Rosan, Alan",,W 01:15 PM - 04:15 PM,HSC S226
Fall 2018,Full Term,College of Liberal Arts,CHEM,250L,JT2,10062,Organic Chemistry Lab,,13,13,16,3,0,999,8/27/18,12/14/18,"Dobbelaar, Peter",,F 01:15 PM - 04:15 PM,HSC S226
Fall 2018,Full Term,College of Liberal Arts,CHEM,250L,JT3,10781,Organic Chemistry Lab,,13,13,16,3,0,999,8/27/18,12/14/18,"Choquette, Kimberly",,M 01:15 PM - 04:15 PM,HSC S226
Fall 2018,Full Term,College of Liberal Arts,CHEM,250L,KZ1,10063,Organic Chemistry Lab,,16,16,16,0,0,999,8/27/18,12/14/18,"Keyser, Sandra",,T 01:15 PM - 04:15 PM,HSC S226
Fall 2018,Full Term,College of Liberal Arts,CHEM,250L,KZ2,10064,Organic Chemistry Lab,,16,16,16,0,3,996,8/27/18,12/14/18,"Rosan, Alan",,R 01:15 PM - 04:15 PM,HSC S226
Fall 2018,Full Term,College of Liberal Arts,CHEM,320,D,10047,Fundamentals of Analytical Chemistry,Fundamentals of Analytical Chemistry,12,12,12,0,0,999,8/27/18,12/14/18,"Crowther, Molly",,TR 09:00 AM - 10:15 AM,HSC S142
Fall 2018,Full Term,College of Liberal Arts,CHEM,320L,KZ,10065,Fundamentals of Analytical Chemistry Lab,Lab for Fundamentals of Analytical Chemistry,12,12,12,0,0,999,8/27/18,12/14/18,"Crowther, Molly",,T 01:15 PM - 04:15 PM,HSC S229
Fall 2018,Full Term,College of Liberal Arts,CHEM,341,E,10048,Advanced Topics in Physical and Inorganic Chemistry,Advanced Inorganic Chemistry,7,7,16,9,0,999,8/27/18,12/14/18,"Pearsall, Mary-Ann",,MWF 10:25 AM - 11:30 AM,HSC S142
Fall 2018,Full Term,College of Liberal Arts,CHEM,342,JT,10049,Laboratory in Advanced Inorganic Chemistry,Lab for Advanced Inorganic Chemistry,4,4,8,4,0,999,8/27/18,12/14/18,"Pearsall, Mary-Ann",,M 01:15 PM - 04:15 PM,HSC S229
Fall 2018,Full Term,College of Liberal Arts,CHEM,360,D,10913,Biochemistry I,,10,15,27,12,0,999,8/27/18,12/14/18,"Cassano, Adam",,TR 09:00 AM - 10:15 AM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,360,H,10050,Biochemistry I,,25,31,27,-4,2,997,8/27/18,12/14/18,"Cassano, Adam",,TR 11:50 AM - 01:05 PM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,360L,JT,10066,Biochemistry I Lab,,12,12,12,0,2,997,8/27/18,12/14/18,"Porras, Jonathan",,W 01:15 PM - 04:15 PM,HSC S229
Fall 2018,Full Term,College of Liberal Arts,CHEM,360L,JT2,10067,Biochemistry I Lab,Lab for Foundations in Biochemistry,12,12,12,0,0,999,8/27/18,12/14/18,"Keyser, Sandra",,F 01:15 PM - 04:15 PM,HSC S229
Fall 2018,Full Term,College of Liberal Arts,CHEM,360L,KZ,10068,Biochemistry I Lab,,11,11,12,1,0,999,8/27/18,12/14/18,"Fazen, Christopher",,R 01:15 PM - 04:15 PM,HSC S229
Fall 2018,Full Term,College of Liberal Arts,CHEM,365,D,10914,Foundation in Biochemistry without Laboratory,Foundations of Biochemistry I without Laboratory,5,15,27,12,0,999,8/27/18,12/14/18,"Cassano, Adam",,TR 09:00 AM - 10:15 AM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,365,H,10051,Foundation in Biochemistry without Laboratory,Foundations in Biochemistry without Lab,6,31,27,-4,0,999,8/27/18,12/14/18,"Cassano, Adam",,TR 11:50 AM - 01:05 PM,HSC S244
Fall 2018,Full Term,College of Liberal Arts,CHEM,395,G,10052,Research in Chemistry,,3,3,12,9,0,999,8/27/18,12/14/18,"Choquette, Kimberly",,MF 11:50 AM - 01:05 PM,HSC S305
Fall 2018,Full Term,College of Liberal Arts,CHEM,410,X,10871,Specialized Honors in Chemistry I,Specialized Honors I: Reactions of Triosmium Decacarbonyl Bisethoxide with Amides,1,1,1,0,0,999,8/27/18,12/14/18,"Pearsall, Mary-Ann",,  - , 
Fall 2018,Full Term,College of Liberal Arts,CHIN,101,G,10139,Beginning Chinese I,,10,10,15,5,0,999,8/27/18,12/14/18,"Pan, Aifang",,MWF 11:50 AM - 12:55 PM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,CHIN,105,H,10140,Introduction to Chinese Character Writing I,Introduction to Chinese Characters,10,10,20,10,0,999,8/27/18,12/14/18,"Bai, Di",,T 11:50 AM - 01:05 PM,BC 104
Fall 2018,Full Term,College of Liberal Arts,CHIN,201,J,10141,Intermediate Chinese I,,7,7,15,8,0,999,8/27/18,12/14/18,"Li, Ping",,MWF 01:15 PM - 02:20 PM,BC 202
Fall 2018,Full Term,College of Liberal Arts,CHIN,301,E,10138,Modern Chinese Society,,11,11,15,4,0,999,8/27/18,12/14/18,"Bai, Di",,MWF 10:25 AM - 11:30 AM,BC 202
Fall 2018,Full Term,College of Liberal Arts,CHIN,350,T,10142,Selected Topics in Modern Chinese Literatuer and Film,Selected Topics in Modern Chinese Literature and Film,14,14,14,0,0,999,8/27/18,12/14/18,"Bai, Di",,MW 02:40 PM - 03:55 PM,HSC S3B
Fall 2018,Full Term,College of Liberal Arts,CLAS,101,H,10246,Intro to Greece and Rome,Introduction to Greece and Rome,27,27,30,3,0,999,8/27/18,12/14/18,"Lenz, John",,TR 11:50 AM - 01:05 PM,BC 215
Fall 2018,Full Term,College of Liberal Arts,CLAS,230,Z,10252,The History of Ancient Greece,,8,18,25,7,0,999,8/27/18,12/14/18,"Lenz, John",,TR 02:40 PM - 03:55 PM,BC 217
Fall 2018,Full Term,College of Liberal Arts,CLAS,250,T,10247,Classical Literature in Translation,Classical Literature in Translation: Homer's Iliad and Odyssey and the Trojan War,5,7,25,18,0,999,8/27/18,12/14/18,"Lenz, John",,MW 02:40 PM - 03:55 PM,BC 217
Fall 2018,Full Term,College of Liberal Arts,CSCI,150,E,10111,Intro to Comp Sci in Python,,19,19,30,11,0,999,8/27/18,12/14/18,"Meng, Ziyuan",,MWF 10:25 AM - 11:30 AM,BC 120
Fall 2018,Full Term,College of Liberal Arts,CSCI,150,VG,10113,Intro to Comp Sci in Python,,18,18,26,8,0,999,8/27/18,12/14/18,"Meng, Ziyuan",,MWF 11:50 AM - 12:55 PM,BC 120
Fall 2018,Full Term,College of Liberal Arts,CSCI,150,VJ,10118,Intro to Comp Sci in Python,,25,25,27,2,0,999,8/27/18,12/14/18,"Liporace, Diane",,MWF 01:15 PM - 02:20 PM,BC 120
Fall 2018,Full Term,College of Liberal Arts,CSCI,151,VT,10120,Object Oriented Prog. in Java,Object Oriented Programming in Java,17,17,27,10,0,999,8/27/18,12/14/18,"Liporace, Diane",,MWF 02:40 PM - 03:45 PM,BC 204
Fall 2018,Full Term,College of Liberal Arts,CSCI,220,C,10107,Discrete Mathematics for Computer Science,,32,32,34,2,0,999,8/27/18,12/14/18,"Kass, Steven",,MWF 09:10 AM - 10:15 AM,BC 21
Fall 2018,Full Term,College of Liberal Arts,CSCI,230,J,10117,Data Structures,,35,35,35,0,0,999,8/27/18,12/14/18,"Hill, Emily",,MWF 01:15 PM - 02:20 PM,BC 21
Fall 2018,Full Term,College of Liberal Arts,CSCI,260,G,10116,Comp Syst and Architecture,Introduction to Computer Systems & Architecture,29,29,30,1,0,999,8/27/18,12/14/18,"Kass, Steven",,MWF 11:50 AM - 12:55 PM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,CSCI,340,E,10121,Software Engineering,,16,16,30,14,0,999,8/27/18,12/14/18,"Hill, Emily",,MWF 10:25 AM - 11:40 AM,BC 21
Fall 2018,Full Term,College of Liberal Arts,CSCI,345,K,10629,Mobile Application Development,,23,23,30,7,0,999,8/27/18,12/14/18,"Burd, Barry",,TR 01:15 PM - 02:30 PM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,CSCI,390,Q,10119,Adv. Topics in Comp Science,,26,26,30,4,0,999,8/27/18,12/14/18,"Seraydarian, Donald",,T 06:00 PM - 09:00 PM,BC 21
Fall 2018,Full Term,College of Liberal Arts,DANC,155,J,10678,Introduction to Afro Fusion Dance and Culture,,12,12,12,0,0,999,8/27/18,12/14/18,"Fowlin, Kimani",,MW 01:15 PM - 02:30 PM,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DANC,220,K,10850,Movement for the Musical Stage,,19,19,20,1,0,999,8/27/18,12/14/18,"Obasi, Chukwuma",,TR 01:15 PM - 02:30 PM,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DANC,220,Z,10260,Movement for the Musical Stage,,18,18,20,2,0,999,8/27/18,12/14/18,"Obasi, Chukwuma",,TR 02:40 PM - 03:55 PM,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DANC,255,J,10679,Afro Fusion Dance and Culture,,12,12,12,0,0,999,8/27/18,12/14/18,"Fowlin, Kimani",,MW 01:15 PM - 02:30 PM,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DANC,322,TL,10257,Choreography and Performance Studies,,7,7,10,3,0,999,8/27/18,12/14/18,"Fowlin, Kimani",,M 03:30 PM - 06:30 PM,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DANC,322L,G,10254,Choreography and Performance L,Choreography and Performance Lab,7,7,10,3,0,0,8/27/18,12/14/18,"Fowlin, Kimani",,  - ,SIMN DNCE
Fall 2018,Full Term,College of Liberal Arts,DATA,251,J,10630,Data Visualization,,10,10,30,20,0,999,8/27/18,12/14/18,"Lu, Yi","Arnold, Lee",WF 01:15 PM - 02:30 PM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,DATA,251,J,10630,Data Visualization,,10,10,30,20,0,999,8/27/18,12/14/18,"Lu, Yi","Arnold, Lee",WF 01:15 PM - 02:30 PM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C1,10143,Drew Seminar,Drew Seminar: Four out of Five Students Recommend This Seminar: Evaluating Survey Research,17,17,17,0,0,999,8/27/18,12/14/18,"Abramowitz, Sarah",,MWF 09:10 AM - 10:15 AM,BC 103
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C10,10152,Drew Seminar,"Drew Seminar: Personal Responsibility, Civic Duty, Social Need: The Complexities of Civic Engagement",16,16,17,1,0,999,8/27/18,12/14/18,"Koritz, Amy",,MWF 09:10 AM - 10:15 AM,BC 215
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C11,10153,Drew Seminar,Drew Seminar: Weapons of Math Destruction: Living with Algorithms,13,13,17,4,0,999,8/27/18,12/14/18,"Kouh, Minjoon",,MWF 09:10 AM - 10:15 AM,HSC S305
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C12,10154,Drew Seminar,Drew Seminar: From Aphrodite to Lady Pink: Women and Art,18,18,17,-1,0,999,8/27/18,12/14/18,"Kuntz, Margaret",,MWF 09:10 AM - 10:15 AM,ARTS 105
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C13,10155,Drew Seminar,"Drew Seminar: Searching for Hamlet: On the Page, Stage, and Screen",20,20,17,-3,0,999,8/27/18,12/14/18,"LaPenta, Daniel",,MWF 09:10 AM - 10:15 AM,ARTS 137
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C14,10156,Drew Seminar,Drew Seminar: Reproduction in the 21st Century,20,20,17,-3,0,999,8/27/18,12/14/18,"McKittrick, Christina",,MWF 09:10 AM - 10:15 AM,HSC S139
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C15,10157,Drew Seminar,Drew Seminar: Strangers at the Shore: Politics of Immigration,17,17,17,0,0,999,8/27/18,12/14/18,"Mishra, Sangay",,MWF 09:10 AM - 10:15 AM,BC 216
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C17,10159,Drew Seminar,The American Politician,19,19,17,-2,0,999,8/27/18,12/14/18,"Mundo, Philip",,MWF 09:10 AM - 10:15 AM,BC 218
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C18,10160,Drew Seminar,Drew Seminar: #Democracy & Digital Citizenship,16,16,17,1,0,999,8/27/18,12/14/18,"Ortega-Aponte, Elias",,MWF 09:10 AM - 10:15 AM,SEM 214
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C19,10161,Drew Seminar,Drew Seminar: Film and the City,18,18,17,-1,0,999,8/27/18,12/14/18,"Placet-Kouassi, Muriel",,MWF 09:10 AM - 10:15 AM,EMB 206
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C2,10144,Drew Seminar,Drew Seminar: HIV/AIDS: Biology in Global Context,18,18,17,-1,0,999,8/27/18,12/14/18,"Barker, Brianne",,MWF 09:10 AM - 10:15 AM,HSC S105
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C20,10162,Drew Seminar,Drew Seminar: Latinos/as in Hollywood,17,17,17,0,0,999,8/27/18,12/14/18,"Rosales, Raul",,MWF 09:10 AM - 10:15 AM,BC 203
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C21,10163,Drew Seminar,"Drew Seminar: Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life",20,20,17,-3,0,999,8/27/18,12/14/18,"Rosan, Alan",,MWF 09:10 AM - 10:15 AM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C22,10164,Drew Seminar,Drew Seminar: New York Voices,14,14,17,3,0,999,8/27/18,12/14/18,"Wells, Hannah",,MWF 09:10 AM - 10:15 AM,SEM 109
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C23,10165,Drew Seminar,Drew Seminar: Music and Meaning,20,20,17,-3,0,999,8/27/18,12/14/18,"Weston, Trevor",,MWF 09:10 AM - 10:15 AM,MUS 111
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C24,10166,Drew Seminar,Drew Seminar: Why We Buy: The Science of Shopping,19,19,17,-2,0,999,8/27/18,12/14/18,"Andrews, Christopher",,MWF 09:10 AM - 10:15 AM,SEM 212
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C25,10167,Drew Seminar,Drew Seminar: Sacred Wisdom,19,19,17,-2,0,999,8/27/18,12/14/18,"Taylor, Christopher",,MWF 09:10 AM - 10:15 AM,BC 117
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C26,10669,Drew Seminar,Drew Seminar: U.S. Food Cultures,17,17,17,0,0,999,8/27/18,12/14/18,"Kirby-Calder, Mary",,MWF 09:10 AM - 10:15 AM,BC 217
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C3,10145,Drew Seminar,Drew Seminar: Magic Bullets: The Role and Limitations of Science in Medicine,19,19,17,-2,0,999,8/27/18,12/14/18,"Cassano, Adam",,MWF 09:10 AM - 10:15 AM,BC 101
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C4,10146,Drew Seminar,"Drew Seminar: Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter",20,20,17,-3,0,999,8/27/18,12/14/18,"Cermele, Jill",,MWF 09:10 AM - 10:15 AM,BC 204
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C5,10147,Drew Seminar,Drew Seminar: Forty Studies That Changed Psychology,20,20,17,-3,0,999,8/27/18,12/14/18,"Dolan, Patrick",,MWF 09:10 AM - 10:15 AM,BC 201
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C7,10149,Drew Seminar,Drew Seminar: Global Peacebuilding and Interfaith Leadership,18,18,17,-1,0,999,8/27/18,12/14/18,"Golden, Jonathan",,MWF 09:10 AM - 10:15 AM,SEM 205
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C8,10150,Drew Seminar,"Drew Seminar: Personal Responsibility, Civic Duty, Social Need: The Complexities of Civic Engagement",15,15,17,2,0,999,8/27/18,12/14/18,"Jamieson, Sandra",,MWF 09:10 AM - 10:15 AM,BC 20
Fall 2018,Full Term,College of Liberal Arts,DSEM,100,C9,10151,Drew Seminar,Drew Seminar: American Inequality,17,17,17,0,0,999,8/27/18,12/14/18,"Jordan, Jason",,MWF 09:10 AM - 10:15 AM,BC 118
Fall 2018,Full Term,College of Liberal Arts,EAP,10,JT,10978,Writing and Grammar I,,1,10,16,6,0,999,8/27/18,12/14/18,"Jordan, John",,MWF 01:15 PM - 03:05 PM,TIL 206
Fall 2018,Full Term,College of Liberal Arts,EAP,11,FH,10979,Reading & Vocabulary I,,1,10,16,6,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 10:25 AM - 12:05 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,12,EG,10980,Listening & Speaking I,,1,10,16,6,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,MWF 10:25 AM - 12:05 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,20,JT,10937,Writing & Grammar 2,Academic English Writing and Grammar 2,2,10,16,6,0,999,8/27/18,12/14/18,"Jordan, John",,MWF 01:15 PM - 03:05 PM,TIL 206
Fall 2018,Full Term,College of Liberal Arts,EAP,21,FH,10939,Reading & Vocabulary 2,Academic English Reading and Vocabulary 2,2,10,16,6,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 10:25 AM - 12:05 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,22,EG,10942,Listening & Speaking 2,Academic English Listening and Speaking 2,2,10,16,6,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,MWF 10:25 AM - 12:05 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,30,JT,10938,Writing & Grammar 3,Academic English Writing and Grammar 3,7,10,16,6,0,999,8/27/18,12/14/18,"Jordan, John",,MWF 01:15 PM - 03:05 PM,TIL 206
Fall 2018,Full Term,College of Liberal Arts,EAP,31,FH,10940,Reading & Vocabulary 3,Academic English Reading and Vocabulary 3,7,10,16,6,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 10:25 AM - 12:05 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,32,EG,10941,Listening & Speaking 3,Academic English Listening and Speaking 3,7,10,16,6,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,MWF 10:25 AM - 12:05 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,40,JT,10945,Writing & Grammar 4,Academic English Writing and Grammar 4,11,11,16,5,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,MWF 01:15 PM - 03:05 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,41,EG,10946,Reading & Vocabulary 4,Academic English Reading and Vocabulary 4,11,11,16,5,0,999,8/27/18,12/14/18,"Thornton, Keeley",,MW 10:25 AM - 12:05 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,42,FH,10947,Listening & Speaking 4,Academic English Listening and Speaking 4,11,11,16,5,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,TR 10:25 AM - 12:05 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,71,T,10944,Special Topics I,Academic English Special Topics I,10,21,16,-5,0,999,8/27/18,12/14/18,"Thornton, Keeley",,MW 03:10 PM - 04:00 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,71,Z,10691,Special Topics I,Academic English Special Topics I,10,21,16,-5,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 03:10 PM - 04:00 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,72,T,10943,Special Topics II,Academic English Special Topics II,11,21,16,-5,0,999,8/27/18,12/14/18,"Thornton, Keeley",,MW 03:10 PM - 04:00 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,72,Z,10948,Special Topics II,Academic English Special Topics II,11,21,16,-5,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 03:10 PM - 04:00 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,101,AC,10698,English for Academic Purposes I: Reading/Writing,English for Academic Purposes Reading and Writing I,20,20,16,-4,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,MW 08:30 AM - 10:10 AM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,101,M,10699,English for Academic Purposes I: Reading/Writing,English for Academic Purposes Reading and Writing I,16,16,16,0,0,999,8/27/18,12/14/18,"Thornton, Keeley",,TR 04:15 PM - 05:55 PM,TIL 203
Fall 2018,Full Term,College of Liberal Arts,EAP,102,AC,10700,English for Academic Purposes I: Listening/Speaking,English for Academic Purposes Listening and Speaking I,8,8,16,8,0,999,8/27/18,12/14/18,"MacLachlan, Anna",,MW 08:30 AM - 10:10 AM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,EAP,102,BD,10705,English for Academic Purposes I: Listening/Speaking,English for Academic Purposes Listening and Speaking I,15,15,16,1,0,999,8/27/18,12/14/18,"MacLachlan, Anna",,TR 08:30 AM - 10:10 AM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,EAP,201,EG,10951,English for Acad Purposes II,English for Academic Purposes Reading and Writing II,10,10,16,6,0,999,8/27/18,12/14/18,"MacLachlan, Anna",,MW 10:25 AM - 11:50 AM,TIL 205
Fall 2018,Full Term,College of Liberal Arts,EAP,201,FH,10949,English for Acad Purposes II,English for Academic Purposes Reading and Writing II,11,11,16,5,0,999,8/27/18,12/14/18,"MacLachlan, Anna",,TR 10:25 AM - 11:50 AM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,EAP,202,HK,10950,Public Speaking,English for Academic Purposes Public Speaking,9,9,18,9,0,999,8/27/18,12/14/18,"Nikoui-Tehrani, Mohamad",,TR 12:50 PM - 02:30 PM,TIL 204
Fall 2018,Full Term,College of Liberal Arts,EAP,202,L,10703,Public Speaking,English for Academic Purposes Public Speaking,8,8,18,10,0,999,8/27/18,12/14/18,"Thornton, Keeley",,MW 04:15 PM - 05:55 PM,TIL 101
Fall 2018,Full Term,College of Liberal Arts,ECON,101,F,10128,Economic Principles: Microeconomics,,30,30,30,0,1,998,8/27/18,12/14/18,"Nti-Addae, Akwasi",,TR 10:25 AM - 11:40 AM,BC 117
